var,type,lat.box,lon.box,rmse,spread,count,cr
t,181,-29.5,301.5,12.9965725483029,14.1515633402705,549258,1.08886887582668
t,187,-29.5,301.5,7.10691174747337,7.89656751488584,2066705,1.11111095725836
t,181,-24.5,301.5,17.7514207177758,77.5225167873675,437737,4.36711618860672
t,187,-24.5,301.5,7.27121863255822,8.32837299558614,367717,1.14538888409906
t,131,-29.5,301.5,629.43096738444,559.727534418734,3960,0.889259606569161
t,181,-34.5,306.5,11.9296001962864,33.4264198777016,26159,2.80197318667118
t,187,-34.5,306.5,49.0265268146652,75.2097531362887,4379,1.53406243564028
t,181,-29.5,306.5,21.4733449464952,96.483327624164,97560,4.49316712717883
t,187,-29.5,306.5,21.4727964208918,68.0880057763321,71278,3.17089606969339
t,131,-29.5,306.5,578.262388178426,469.095452404215,1620,0.811215569253785
t,131,-24.5,306.5,87.511723799178,199.37889948877,12000,2.27831073178612
t,181,-24.5,306.5,186.256630425962,745.76360234741,167280,4.00395733908574
t,187,-24.5,306.5,32.3738732160865,210.87833503174,45540,6.51384323476485
t,181,-19.5,306.5,4081.50338724859,7005.01862392871,22080,1.71628391778719
t,187,-19.5,306.5,2179.02722125437,4259.88260684741,4800,1.9549469438914
t,181,-19.5,301.5,3744.34912960143,5507.91944024807,15900,1.47099515819839
u,287,-39.5,286.5,6698.64518980983,5268.17479058312,15060,0.786453774055269
u,281,-39.5,286.5,1069.64101575051,685.460791295032,69451,0.640832560832643
u,287,-34.5,286.5,3821.5621100327,3041.92125720736,17216,0.795988962006255
u,281,-34.5,286.5,3217.34383644042,2461.1957259113,4020,0.764977525260183
u,287,-29.5,286.5,2754.06025158668,2270.85953934012,4140,0.824549694594309
u,281,-29.5,286.5,2198.95502428486,1737.68102501744,1380,0.790230362070529
u,287,-29.5,291.5,2319.08890824486,1770.28349224162,4200,0.763353007272762
u,281,-24.5,291.5,639.260053679862,439.627580207222,3600,0.68771320478502
u,287,-24.5,291.5,257.425343277617,188.738551671013,38100,0.73317781873353
u,231,-39.5,286.5,1176.35379891515,566.417527346292,7193,0.48150269746113
u,231,-39.5,291.5,411.940659365978,142.562582483901,26376,0.34607553112946
u,281,-39.5,291.5,177.017898020578,68.6593570513709,160877,0.387866751436565
u,281,-34.5,291.5,29.1565033997308,25.606940291449,121926,0.878258271932752
u,287,-34.5,291.5,34.8855898155802,23.0787115404056,304814,0.661554288243636
u,281,-29.5,291.5,12.0323810953763,26.4109940014034,28750,2.19499314325678
u,281,-19.5,291.5,22.7786968238347,37.2057681508531,1945,1.63335806427357
u,287,-19.5,291.5,25.6819028235223,50.1746846812553,4860,1.95369809729596
u,281,-39.5,296.5,15.7343713614249,23.1003158296576,54115,1.468143550132
u,231,-39.5,296.5,203.604284641983,98.5595602917212,6547,0.484074097286449
u,287,-39.5,291.5,11.7384039743903,19.5680713462726,29604,1.66701294221635
u,281,-34.5,296.5,9.05676376360359,13.4707251476385,210863,1.4873662932198
u,287,-34.5,296.5,5.31350004826101,9.63217196925844,1791908,1.81277347920809
u,281,-29.5,296.5,4.44977670039751,10.6576101119995,596223,2.39508874929554
u,287,-29.5,296.5,4.75363972937182,9.70879236714419,1474264,2.04239128749186
u,281,-24.5,296.5,3.93464084055511,12.0889296251792,441896,3.07243535434702
u,287,-24.5,296.5,5.37001010639993,14.9407084202051,106310,2.78224959062906
u,287,-19.5,296.5,9.10182808557042,23.7879679328312,9000,2.61353738053385
u,281,-19.5,296.5,8.35535559585208,20.9634327588717,31800,2.50898151710967
u,287,-39.5,296.5,20.5058952105858,21.3419172796412,34931,1.04076984011036
