var,type,lat.box,lon.box,mean.y,sd.y
u,287,-25.75,295.25,0.163949126751423,0.690737102895848
u,287,-25.75,292.75,-0.0161439788629177,0.44299501335661
u,281,-23.25,295.25,0.25221038616375,0.680853915840385
u,287,-23.25,295.25,0.0314981986070096,0.608144271039726
u,287,-20.75,295.25,0.159881286501446,0.762470085396696
u,281,-20.75,295.25,0.139802063000367,0.782317923643141
u,281,-40.75,297.75,0.340577699499251,0.96254229990525
u,281,-38.25,297.75,-0.106013990844176,1.09017811934234
u,287,-38.25,295.25,-0.149091889119394,1.4965200127593
u,281,-38.25,295.25,-0.0422244625581286,0.84444466260089
u,287,-35.75,295.25,0.262029045034228,0.847928977333285
u,281,-35.75,297.75,0.112991407170899,0.73529529569999
u,281,-33.25,297.75,0.43440655249669,1.15586464749523
u,287,-33.25,297.75,0.173269033569691,0.735891577411496
u,287,-30.75,297.75,0.333881492877885,0.743395005390638
u,281,-30.75,297.75,0.319368759516944,0.801890715725484
u,281,-28.25,297.75,0.368489206348248,0.684455785640302
u,287,-25.75,297.75,0.643125983624071,0.552892102237105
u,281,-25.75,297.75,0.385137546812162,0.679787421488254
u,287,-20.75,297.75,0.592091224569268,0.719528699382443
u,281,-20.75,297.75,-0.00491057980070714,0.691651413544676
u,231,-38.25,297.75,1.27210491179736,1.58743908413938
u,281,-38.25,300.25,-0.0500886691837911,0.875171534887172
u,231,-35.75,300.25,0.321825522831534,1.07987895865841
u,231,-38.25,300.25,1.47173309228149,1.03730290926809
u,281,-35.75,300.25,-0.045812736920015,0.757384005562138
u,287,-35.75,300.25,0.0828316406206209,0.742447896194873
u,231,-33.25,300.25,0.396627127982816,1.02796282416298
u,287,-33.25,300.25,0.0619282396646824,0.643711349360533
u,281,-33.25,300.25,0.0974866314366287,0.737778432740021
u,231,-33.25,297.75,0.812735791623259,1.14755952439484
u,231,-30.75,297.75,1.25781222497199,1.5691491737251
u,281,-30.75,300.25,0.410875116730698,0.76773175239876
u,287,-30.75,300.25,0.271308998861015,0.716655498344187
u,281,-28.25,300.25,0.330234426100994,0.656173777428418
u,287,-28.25,300.25,0.563975909208845,0.831988867638771
u,281,-25.75,300.25,0.493877058185465,0.623109187700543
u,287,-25.75,300.25,0.535788989276416,0.758038589239244
u,287,-28.25,297.75,0.532708152030718,0.695386781077439
