var,type,nivel.error,date,rmsi,spread,bias,count,cr
v,220,850,2018-11-22T00:00:00Z,1.4172460605149,26.6531233329604,1.30325974358974,780,18.8062779467364
v,220,800,2018-11-22T00:00:00Z,1.22941925203769,25.4372511567249,0.530522677083333,960,20.6904610567666
v,220,750,2018-11-22T00:00:00Z,1.67214264266941,25.7656376786086,-1.2804123030303,660,15.4087558209007
v,220,700,2018-11-22T00:00:00Z,2.30847999809533,23.342371910798,-0.284639560606061,660,10.111576418274
v,220,650,2018-11-22T00:00:00Z,1.59675913558764,25.2742649230226,0.974483878787879,660,15.8284767938536
v,220,600,2018-11-22T00:00:00Z,2.26298713906892,24.4509885313508,0.598590848484848,660,10.80474038461
v,220,550,2018-11-22T00:00:00Z,2.5459222291645,24.7217434424819,-0.744135251666667,600,9.71032938841769
v,220,500,2018-11-22T00:00:00Z,1.49898852387479,21.8161665849321,-0.166013076811594,1380,14.5539250217465
v,220,450,2018-11-22T00:00:00Z,1.79811806664516,22.859701806266,1.47467403125,960,12.71312614578
v,220,400,2018-11-22T00:00:00Z,2.06806080692109,23.1814156863936,1.339397425,960,11.2092524595086
v,220,350,2018-11-22T00:00:00Z,2.07129731975932,25.2819849034965,0.249577861111111,720,12.2058695592935
v,220,300,2018-11-22T00:00:00Z,3.30343968154537,26.1863902557283,1.7644417254902,1020,7.92700723491889
v,220,250,2018-11-22T00:00:00Z,3.23463316661239,26.797727059441,1.2828838627451,1020,8.28462631745845
v,220,200,2018-11-22T00:00:00Z,3.08475209310354,24.0976857634377,2.60468030025021,1199,7.8118711118835
v,220,150,2018-11-22T00:00:00Z,1.26560212399876,23.6020655025589,-1.82002213768116,1380,18.6488826583085
v,220,100,2018-11-22T00:00:00Z,1.78735043076645,19.6228218497871,0.704538843971631,2820,10.9787210789841
v,220,75,2018-11-22T00:00:00Z,3.75333960279147,18.8632909321722,-1.76438902424731,3720,5.02573519277152
v,220,50,2018-11-22T00:00:00Z,2.44874422548139,25.1979451376893,2.94386299122807,2280,10.2901498962129
v,231,250,2018-11-22T00:00:00Z,8.15942757912513,40.5569742981564,-2.61079056414923,1099,4.97056612180937
v,231,300,2018-11-22T00:00:00Z,0.742974808510658,101.794549592366,2.77060866666667,180,137.009422696875
v,231,350,2018-11-22T00:00:00Z,3.9300227819286,96.29984254748,2.81446287625418,299,24.5036346838229
v,231,400,2018-11-22T00:00:00Z,7.52677724815674,92.2710049277129,-4.2362325,120,12.2590322372446
v,231,450,2018-11-22T00:00:00Z,9.66727564180188,83.0763232839387,-10.8281396648045,179,8.59356103644254
v,231,550,2018-11-22T00:00:00Z,7.80981077276712,72.4539695222874,-15.2017543859649,114,9.27730154166283
v,231,600,2018-11-22T00:00:00Z,8.09208791838919,73.4039533178079,-0.251113333333333,60,9.07107708889299
v,231,650,2018-11-22T00:00:00Z,7.34969942679218,68.0657226579529,13.0426666666667,60,9.26102126160832
v,231,750,2018-11-22T00:00:00Z,4.25740216765444,36.7922732051048,2.536684125,240,8.64195388554871
