type,nivel,t,rh,uv,ps,pw
107,100,NA,NA,NA,NA,NA
107,75,NA,NA,NA,NA,NA
107,50,NA,NA,NA,NA,NA
107,40,NA,NA,NA,NA,NA
107,30,NA,NA,NA,NA,NA
107,20,NA,NA,NA,NA,NA
107,10,NA,NA,NA,NA,NA
107,5,NA,NA,NA,NA,NA
107,4,NA,NA,NA,NA,NA
107,3,NA,NA,NA,NA,NA
107,2,NA,NA,NA,NA,NA
107,1,NA,NA,NA,NA,NA
107,0,NA,NA,NA,NA,NA
108,1100,NA,NA,NA,NA,NA
108,1050,NA,NA,NA,NA,NA
108,1000,NA,NA,NA,NA,NA
108,950,NA,NA,NA,NA,NA
108,900,NA,NA,NA,NA,NA
108,850,NA,NA,NA,NA,NA
108,800,NA,NA,NA,NA,NA
108,750,NA,NA,NA,NA,NA
108,700,NA,NA,NA,NA,NA
108,650,NA,NA,NA,NA,NA
108,600,NA,NA,NA,NA,NA
108,550,NA,NA,NA,NA,NA
108,500,NA,NA,NA,NA,NA
108,450,NA,NA,NA,NA,NA
108,400,NA,NA,NA,NA,NA
108,350,NA,NA,NA,NA,NA
108,300,NA,NA,NA,NA,NA
108,250,NA,NA,NA,NA,NA
108,200,NA,NA,NA,NA,NA
108,150,NA,NA,NA,NA,NA
108,100,NA,NA,NA,NA,NA
108,75,NA,NA,NA,NA,NA
108,50,NA,NA,NA,NA,NA
108,40,NA,NA,NA,NA,NA
108,30,NA,NA,NA,NA,NA
108,20,NA,NA,NA,NA,NA
108,10,NA,NA,NA,NA,NA
108,5,NA,NA,NA,NA,NA
108,4,NA,NA,NA,NA,NA
108,3,NA,NA,NA,NA,NA
108,2,NA,NA,NA,NA,NA
108,1,NA,NA,NA,NA,NA
108,0,NA,NA,NA,NA,NA
109,1100,NA,NA,NA,NA,NA
109,1050,NA,NA,NA,NA,NA
109,1000,NA,NA,NA,NA,NA
109,950,NA,NA,NA,NA,NA
109,900,NA,NA,NA,NA,NA
109,850,NA,NA,NA,NA,NA
109,800,NA,NA,NA,NA,NA
109,750,NA,NA,NA,NA,NA
109,700,NA,NA,NA,NA,NA
109,650,NA,NA,NA,NA,NA
109,600,NA,NA,NA,NA,NA
109,550,NA,NA,NA,NA,NA
109,500,NA,NA,NA,NA,NA
109,450,NA,NA,NA,NA,NA
109,400,NA,NA,NA,NA,NA
109,350,NA,NA,NA,NA,NA
109,300,NA,NA,NA,NA,NA
109,250,NA,NA,NA,NA,NA
109,200,NA,NA,NA,NA,NA
109,150,NA,NA,NA,NA,NA
109,100,NA,NA,NA,NA,NA
109,75,NA,NA,NA,NA,NA
109,50,NA,NA,NA,NA,NA
109,40,NA,NA,NA,NA,NA
109,30,NA,NA,NA,NA,NA
109,20,NA,NA,NA,NA,NA
109,10,NA,NA,NA,NA,NA
109,5,NA,NA,NA,NA,NA
109,4,NA,NA,NA,NA,NA
109,3,NA,NA,NA,NA,NA
109,2,NA,NA,NA,NA,NA
109,1,NA,NA,NA,NA,NA
109,0,NA,NA,NA,NA,NA
110,1100,NA,NA,NA,NA,NA
110,1050,NA,NA,NA,NA,NA
110,1000,NA,NA,NA,NA,NA
110,950,NA,NA,NA,NA,NA
110,900,NA,NA,NA,NA,NA
110,850,NA,NA,NA,NA,NA
110,800,NA,NA,NA,NA,NA
110,750,NA,NA,NA,NA,NA
110,700,NA,NA,NA,NA,NA
110,650,NA,NA,NA,NA,NA
110,600,NA,NA,NA,NA,NA
110,550,NA,NA,NA,NA,NA
110,500,NA,NA,NA,NA,NA
110,450,NA,NA,NA,NA,NA
110,400,NA,NA,NA,NA,NA
110,350,NA,NA,NA,NA,NA
110,300,NA,NA,NA,NA,NA
110,250,NA,NA,NA,NA,NA
110,200,NA,NA,NA,NA,NA
110,150,NA,NA,NA,NA,NA
110,100,NA,NA,NA,NA,NA
110,75,NA,NA,NA,NA,NA
110,50,NA,NA,NA,NA,NA
110,40,NA,NA,NA,NA,NA
110,30,NA,NA,NA,NA,NA
110,20,NA,NA,NA,NA,NA
110,10,NA,NA,NA,NA,NA
110,5,NA,NA,NA,NA,NA
110,4,NA,NA,NA,NA,NA
110,3,NA,NA,NA,NA,NA
110,2,NA,NA,NA,NA,NA
110,1,NA,NA,NA,NA,NA
110,0,NA,NA,NA,NA,NA
111,1100,NA,NA,NA,NA,NA
111,1050,NA,NA,NA,NA,NA
111,1000,NA,NA,NA,NA,NA
111,950,NA,NA,NA,NA,NA
111,900,NA,NA,NA,NA,NA
111,850,NA,NA,NA,NA,NA
111,800,NA,NA,NA,NA,NA
111,750,NA,NA,NA,NA,NA
111,700,NA,NA,NA,NA,NA
111,650,NA,NA,NA,NA,NA
111,600,NA,NA,NA,NA,NA
111,550,NA,NA,NA,NA,NA
111,500,NA,NA,NA,NA,NA
111,450,NA,NA,NA,NA,NA
111,400,NA,NA,NA,NA,NA
111,350,NA,NA,NA,NA,NA
111,300,NA,NA,NA,NA,NA
111,250,NA,NA,NA,NA,NA
111,200,NA,NA,NA,NA,NA
111,150,NA,NA,NA,NA,NA
