var,type,date,mean.y,sd.y
t,187,2018-11-21T07:00:00Z,-0.625193668572843,1.11492198478049
t,181,2018-11-21T07:00:00Z,-0.14080128200601,0.969223634737736
u,287,2018-11-21T07:00:00Z,0.26783595616243,0.550778238350132
u,281,2018-11-21T07:00:00Z,0.149012046788058,0.687714408289889
v,287,2018-11-21T07:00:00Z,0.91120097369823,0.817114967773863
v,281,2018-11-21T07:00:00Z,0.492227182803902,0.647367722051793
t,187,2018-11-21T08:00:00Z,-0.705601904675654,1.12883805777564
t,181,2018-11-21T08:00:00Z,-0.12997533197952,0.980569368371033
u,287,2018-11-21T08:00:00Z,0.213883396323875,0.548290510455502
u,281,2018-11-21T08:00:00Z,0.140536075559498,0.601855310087328
v,287,2018-11-21T08:00:00Z,0.851320323393229,0.773447197084884
v,281,2018-11-21T08:00:00Z,0.454941247632088,0.697254453497163
