exp,init_date,date,fss,w,q
E5,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,0.720455037325164,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,0.90732703868433,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.679331805834416,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.963959913898054,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.820552147239264,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.586953342109112,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.598668916774312,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.919676292531278,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.462103969609493,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.57640106919731,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.936805497358808,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.000212107821475849,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.585486640885899,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.477112511013594,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.942818255530206,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.849068094681037,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.402568220044385,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.946941049489028,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.0807731814361752,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.521582238211474,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.390424696912584,4,1
