var,type,date,rmsi,spread,bias,count,cr
t,181,2018-11-21T08:00:00Z,1.94799323652617,242.684024445625,-0.368041688202755,48719,124.581553926953
u,287,2018-11-21T08:00:00Z,1.51941935699436,109.645416743319,0.610657908398563,68220,72.1627088917798
u,281,2018-11-21T08:00:00Z,2.16765490573122,128.706139531958,0.111918709868663,46217,59.3757517359716
v,287,2018-11-21T08:00:00Z,2.57338377444229,8.63372768340234,2.31908323159337,68220,3.35500976152438
v,281,2018-11-21T08:00:00Z,1.46682096485499,8.4140120459652,1.41150025492892,46217,5.73622292533638
t,181,2018-11-21T09:00:00Z,2.96902222232177,135.914711015034,-0.123666647343997,54951,45.7775997744971
t,187,2018-11-21T09:00:00Z,2.57699526833876,7.34686051143129,-1.49678900027365,155013,2.85094062907123
u,281,2018-11-21T09:00:00Z,2.94886186840148,82.6571270953873,0.0362561167361638,52760,28.0301793655035
u,287,2018-11-21T09:00:00Z,1.68199901787093,83.1536308491549,0.494319594499854,68580,49.4373837116806
v,281,2018-11-21T09:00:00Z,1.60436084823462,8.16271862893117,1.27939185272934,52760,5.08783210330339
v,287,2018-11-21T09:00:00Z,2.56094336413146,8.19644643817589,2.07838895696121,68580,3.2005574793161
t,187,2018-11-21T10:00:00Z,4.65639758488067,4.55198081773276,0.313485590631031,156474,0.977575633256284
t,181,2018-11-21T10:00:00Z,4.51068856782778,61.7048984448814,1.20810481938662,50034,13.6797071039193
u,287,2018-11-21T10:00:00Z,1.82779982462144,60.1426455519511,0.384809847510879,68940,32.9043939833004
u,281,2018-11-21T10:00:00Z,4.11319484252563,6.73439663029566,-0.0987274036689632,48188,1.63726662317813
v,287,2018-11-21T10:00:00Z,2.55344195568414,7.39750634396631,1.76646195145721,68940,2.89707245057948
v,281,2018-11-21T10:00:00Z,2.20749214201895,7.31058279239215,1.12812152191417,48188,3.31171407283289
t,187,2018-11-21T11:00:00Z,3.94338828689183,8.01956559954155,2.49943054590554,158116,2.03367383988011
t,181,2018-11-21T11:00:00Z,3.43956524952854,178.255806150142,2.43968980422366,51472,51.8250980046316
u,287,2018-11-21T11:00:00Z,1.43399447034931,71.7303127612797,0.134576321436563,69360,50.0213314935636
u,281,2018-11-21T11:00:00Z,3.49331283710985,24.1986397409159,-0.139369969076624,49828,6.92713217203196
v,287,2018-11-21T11:00:00Z,1.28524383484168,7.49326556680538,1.44298296387399,69360,5.83022875789823
v,281,2018-11-21T11:00:00Z,1.14305543113508,7.62711475705071,1.16235685079674,49828,6.67256770695433
t,181,2018-11-21T12:00:00Z,5.08543531311797,77.4186072100326,2.65430065060851,60476,15.2235949222144
t,187,2018-11-21T12:00:00Z,2.95360237675206,4.24956726342055,3.29919199832753,157085,1.43877432415043
u,281,2018-11-21T12:00:00Z,5.0703054800374,46.3542008382634,-0.209006367429858,59094,9.14228955647096
u,287,2018-11-21T12:00:00Z,1.93754183716761,50.4716085958895,0.048899423479456,69120,26.0493000087529
v,281,2018-11-21T12:00:00Z,1.79787878816793,7.65864643137758,1.34255107365046,59094,4.25982356640511
