var,type,nivel.error,mean.y,sd.y
v,220,200,0.0917936168553817,1.70378855576138
v,220,150,0.0141496908062677,1.50845341757355
v,220,100,0.250716135251739,1.17594822979029
v,220,75,-0.0255737641544469,1.44208025426692
v,220,50,-0.283616188360361,1.48497327115489
v,220,900,0.218093447172155,1.37908388253423
v,220,800,-0.0456926432505055,1.13370605096731
v,220,750,-0.284871141528656,1.04587579365661
v,220,650,-0.122161092204463,0.948261668751952
v,220,600,-0.225549077462059,0.966646960621608
v,220,550,0.0442888190274407,0.919257317371973
v,220,450,0.062541546481461,1.00725540892116
v,220,350,0.120004877954459,1.08257834797575
v,220,1000,0.0486290306281604,0.976954926506685
t,133,250,0.132205268550541,1.15356827594597
t,133,300,0.287951278690635,0.994802754077683
u,233,250,0.44911216660339,1.12737208989268
u,233,300,0.592497451896827,0.985800155372838
v,233,250,0.419364856218028,1.20394696325802
v,233,300,0.28494991519071,1.20049542246723
t,133,450,0.636754340589261,1.27081316968585
t,133,750,1.14306108418819,1.15161243239375
t,133,400,0.60747125809786,0.633426075488126
u,233,450,-0.108635401583418,0.934921952215877
u,233,750,-0.497861243409041,0.728455863122883
u,233,400,-0.354129468892818,0.956892525961262
v,233,450,-0.0121606033774001,1.12477873070857
v,233,750,-0.208953292487282,0.793356658287393
v,233,400,0.992906818703527,0.91305155362104
t,133,350,1.0652133962068,0.865613652014062
t,133,650,0.858507072379744,0.615567046123097
t,133,600,0.272997451478625,0.371789558023899
t,133,550,0.129141452483005,0.525485829531539
t,133,500,0.299621409364747,0.360788578929387
t,133,700,2.09068204420973,0.345128085312643
t,133,200,0.907617494885401,1.38148974135663
t,133,950,-0.0608502611665022,1.25998112332636
t,133,900,0.150580491660304,0.591322849163061
t,133,850,-0.0956679367052407,0.406057546529234
t,133,800,-0.721382475860868,0.773150933186604
u,233,350,-0.667704750861747,0.908504882701986
u,233,650,-0.159686387463421,0.465433762262589
u,233,600,0.123839853865685,0.59466649665667
u,233,550,0.633892260115473,0.709881647463307
u,233,500,0.449665000545311,0.113917916613218
u,233,700,-0.66928431864985,0.48476970262858
u,233,200,-0.165247054920047,1.19138787376903
u,233,950,-0.0152376878148587,0.31206385376606
u,233,900,0.0775653682401182,0.228938128417193
u,233,850,-0.239875288441741,0.235507847156635
u,233,800,-0.161376314657797,0.251976280162558
v,233,350,1.35868251525488,0.491722203861904
v,233,650,-0.247010520953063,0.511979200849954
v,233,600,-0.540036203047412,0.284301978868749
v,233,550,-0.588370337146173,0.618983420903442
v,233,500,-0.254537669156537,0.140381919563268
v,233,700,-1.07171074641327,0.951676795293566
v,233,200,0.356894278876796,1.26934806557281
v,233,950,-1.22593945170646,1.35263431963484
v,233,900,1.00186260971982,0.354374142382575
v,233,850,0.259890689107432,0.193724416262084
v,233,800,0.138435153363952,1.27214849045883
t,130,400,-0.934358070263363,0.0193358663615694
u,230,400,0.73169189849715,1.01154668169616
v,230,400,0.388789516369359,0.33210242399893
t,130,250,-0.275399356239468,0.0692126497617745
u,230,250,-1.35359953039559,0.123139369698234
v,230,250,1.02699341622843,0.30548840932707
t,130,350,5.57719447088548,0
