var,type,nivel.error,date,mean.y,sd.y
t,131,450,2018-11-20T22:00:00Z,-0.223630620293316,0.711561134701647
t,131,500,2018-11-20T22:00:00Z,-0.0557411528375276,0.782375765435082
t,131,1000,2018-11-20T22:00:00Z,-0.48366331415854,0.647162850878337
u,231,900,2018-11-20T22:00:00Z,0.659673564383902,0.844475730833425
u,231,850,2018-11-20T22:00:00Z,0.731363418367046,0.892165183231523
u,231,800,2018-11-20T22:00:00Z,-0.0219185445517581,0.847417514283867
u,231,750,2018-11-20T22:00:00Z,-0.402242342604149,1.62377369469164
u,231,700,2018-11-20T22:00:00Z,-0.312695050620911,1.29472968434396
u,231,550,2018-11-20T22:00:00Z,0.379358800400971,0.765281503760789
u,231,300,2018-11-20T22:00:00Z,-0.375388642385082,0.382107889363346
u,231,250,2018-11-20T22:00:00Z,-0.385170760687174,0.532428616966684
u,231,600,2018-11-20T22:00:00Z,-0.480391175362735,0.756422335737099
u,231,650,2018-11-20T22:00:00Z,-0.561883130914028,0.294057053853278
u,231,950,2018-11-20T22:00:00Z,-0.491954062337381,1.09065494191091
u,231,400,2018-11-20T22:00:00Z,-0.440031674998826,0.293634491996231
u,231,450,2018-11-20T22:00:00Z,-0.509313374343866,0.283339457035049
u,231,500,2018-11-20T22:00:00Z,-0.239593561629063,0.251578357604621
u,231,1000,2018-11-20T22:00:00Z,-1.16941112845859,0.462836312175594
v,231,900,2018-11-20T22:00:00Z,0.352647425070734,0.844463751531425
v,231,850,2018-11-20T22:00:00Z,-1.17143349174494,0.276599090299279
v,231,800,2018-11-20T22:00:00Z,-0.551044213188153,0.872078675759131
v,231,750,2018-11-20T22:00:00Z,-0.76505002030511,0.754275316936338
v,231,700,2018-11-20T22:00:00Z,-0.647368057083621,0.816738041365564
v,231,550,2018-11-20T22:00:00Z,0.0131213561745621,0.448055223021813
v,231,300,2018-11-20T22:00:00Z,0.188029107230139,0.677005858699219
v,231,250,2018-11-20T22:00:00Z,0.0133037394459267,0.64605931430755
v,231,600,2018-11-20T22:00:00Z,0.24517495893638,0.342379978595695
v,231,650,2018-11-20T22:00:00Z,0.212295743191707,0.541475991588773
v,231,950,2018-11-20T22:00:00Z,0.551518969548779,0.482564901723842
v,231,400,2018-11-20T22:00:00Z,-0.0620749397023583,0.224704884687867
v,231,450,2018-11-20T22:00:00Z,-0.141080513642878,0.256547983518259
v,231,500,2018-11-20T22:00:00Z,0.289406669344672,0.454214337055423
v,231,1000,2018-11-20T22:00:00Z,0.877795618997202,0.63195060830145
t,131,600,2018-11-20T23:00:00Z,1.04433541718196,0.586374658261303
t,131,650,2018-11-20T23:00:00Z,-0.0524977798006005,1.00273064765945
t,131,850,2018-11-20T23:00:00Z,0.220339391138575,1.13361205675946
t,131,800,2018-11-20T23:00:00Z,-0.562934050358955,0.864093362886235
t,131,900,2018-11-20T23:00:00Z,0.00537937307076556,1.12804824297993
t,131,250,2018-11-20T23:00:00Z,-0.722796140895481,0.869389955570069
t,131,550,2018-11-20T23:00:00Z,0.476705480459792,1.01831667585595
t,131,300,2018-11-20T23:00:00Z,-0.0821483402090495,0.894429072371521
t,131,350,2018-11-20T23:00:00Z,0.137196625217203,0.833409447287839
t,131,400,2018-11-20T23:00:00Z,-0.503099996029881,0.810651760644683
t,131,450,2018-11-20T23:00:00Z,-0.155635253062704,0.751386687384697
t,131,500,2018-11-20T23:00:00Z,-0.0798723108836482,1.0362291983259
t,131,750,2018-11-20T23:00:00Z,0.149261149829231,1.0130089375248
t,131,700,2018-11-20T23:00:00Z,0.373619754914686,0.890109703718316
t,131,950,2018-11-20T23:00:00Z,-0.965325163744269,0.690168099095404
