exp,init_date,date,fss,w,q
E4,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.940433111336582,40,1
E4,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.134294044320812,4,25
E4,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.957525174241071,40,25
E4,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.567510076620592,4,1
E4,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.965509327048609,40,1
E4,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.133548177734246,4,25
E4,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.960328210719006,40,25
E4,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.586849184945929,4,1
E4,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.969096509997086,40,1
E4,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.391126832196234,4,25
E4,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.989706273862676,40,25
E5,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.491962843615608,4,1
E5,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.937630725525046,40,1
E5,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.0246667886499354,4,25
E5,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.437343593481414,40,25
E5,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.595576100552522,4,1
E5,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.915991894226526,40,1
E5,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.0556902970458996,4,25
E5,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.448760488474127,40,25
E5,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.724432359435227,4,1
E5,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.965580274013533,40,1
E5,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.319260153187045,4,25
E5,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.412046686663076,40,25
E5,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.702273015421562,4,1
E5,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.955060103490917,40,1
E5,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.498718776418993,4,25
E5,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.973507187599931,40,25
E5,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.777894263368326,4,1
E5,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.98399687058143,40,1
E5,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.520796462698173,4,25
E5,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.636248266658741,40,25
E5,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.690317724703207,4,1
E5,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.947303462131651,40,1
E5,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.508793193338894,4,25
E5,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.839602304257079,40,25
E5,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.714741277145012,4,1
E5,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.937903632751028,40,1
E5,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.436125762266006,4,25
E5,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.963565091082785,40,25
E5,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.734697746180722,4,1
E5,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.985449892187849,40,1
E5,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.507241591899792,4,25
E5,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.984436229422065,40,25
E5,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.773343283273563,4,1
E5,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.990477084380891,40,1
E5,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.324707314340129,4,25
E5,2018-11-22T06:00:00Z,2018-11-23T09:00:00Z,0.986619223600631,40,25
E5,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.852683351496804,4,1
E5,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.994430584888677,40,1
E5,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.52176595801566,4,25
E5,2018-11-22T06:00:00Z,2018-11-23T12:00:00Z,0.988177631983539,40,25
E6,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.498406861429813,4,1
E6,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.931293213436835,40,1
E6,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.0333502461207439,4,25
E6,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.452002876446816,40,25
E6,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.652354371517582,4,1
E6,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.929370934767874,40,1
E6,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.15140251016494,4,25
E6,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.564713133789143,40,25
E6,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.738808368905991,4,1
E6,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.970594025508681,40,1
E6,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.514133759098907,4,25
E6,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.785489332024864,40,25
E6,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.690923239092737,4,1
E6,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.948725200815973,40,1
E6,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.674656285857747,4,25
E6,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.978255932043114,40,25
E6,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.740548357581647,4,1
E6,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.979190207250588,40,1
E6,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.523785548523859,4,25
E6,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.704051629125714,40,25
E6,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.70855522642288,4,1
E6,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.946041233949648,40,1
E6,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.521377180919576,4,25
E6,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.896389035597049,40,25
E6,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.748817146531786,4,1
E6,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.950019124858797,40,1
E6,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.56352418472447,4,25
E6,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.979342005422818,40,25
E6,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.753835770199946,4,1
