var,type,nivel.error,rmsi,spread,bias,count,cr
t,120,450,1.0496830267589,115.45572252009,-0.0828180995726496,4680,109.991034985658
t,120,600,0.838071245538495,229.293083898364,0.432855388135593,3540,273.59617111196
u,220,950,3.15398723967,40.9104834510251,-0.699750401966261,8951,12.9710364507707
u,220,850,3.13012518281498,34.3056708627032,0.222961139474444,6926,10.9598398974738
u,220,700,3.0127488129485,37.3644023012428,-0.74842784413017,6576,12.4020967631467
u,220,500,4.14491564175859,43.0647962126108,-0.160981197582803,10839,10.3897883418297
u,220,400,5.53315556206523,52.1980080124464,0.313322350674169,9419,9.43367802096705
u,220,300,9.40755914215792,63.483977055009,-0.66236262564953,9045,6.74818793012094
u,220,250,8.46246346653097,68.5091369458105,0.178319886731707,10250,8.09564935987777
u,220,200,8.71128745953816,66.1406076961064,-0.377363899121039,12401,7.59251809830793
u,220,150,7.7447206185313,67.1428280950206,0.330051375019821,16397,8.66949647407081
u,220,100,5.71016519809662,63.82971073557,0.174458889106814,25493,11.1782599138894
u,220,75,4.93178232079816,46.1289988164246,-0.249525792991618,31020,9.35341339415788
u,220,50,5.09488336092548,44.3031637614269,0.00372266293995862,19320,8.69561884403557
u,220,900,2.80712669127642,42.4688532434475,-0.440184293509094,5993,15.1289406977697
u,220,800,2.22845909610687,38.3137702391579,0.221113741906327,6085,17.1929430098548
u,220,750,2.09351492826834,37.9927520738116,-0.172393310852238,6524,18.1478295477155
u,220,650,3.42775741578342,32.9241409399717,-0.749508161202756,4789,9.60515490051005
u,220,600,3.31195553977506,41.1259359543484,-0.155202408859202,5689,12.417417885127
u,220,550,4.43847196055114,36.5560794723981,0.148228475300401,5992,8.23618574079237
u,220,450,3.93711948993608,51.3619820425064,-0.6421170418206,6767,13.0455735909962
u,220,350,7.5682790480283,62.8764318807385,-0.267743337413925,6535,8.30789027224349
u,220,1000,3.35520974511534,44.2127877620275,-0.142326876680304,5133,13.1773543595581
v,220,950,3.84292229075846,27.6323438543673,-0.10945161021115,8951,7.19045085059829
v,220,850,2.82422465382926,26.5770848057572,0.581683495812879,6926,9.41040039775956
v,220,700,3.06092479425716,24.9709363468831,-0.746016485097324,6576,8.15797120979028
v,220,500,3.01029169404987,29.7957345584825,0.363847659747209,10839,9.89795594140484
v,220,400,3.69773029118582,32.9085322795092,0.447479173691475,9419,8.8996572729905
v,220,300,5.0165765949771,35.8669775906872,0.931787199557767,9045,7.14969200841056
v,220,250,5.28630720446523,36.8377501287088,0.954409162926829,10250,6.96852239264352
v,220,200,5.18062982594761,32.7301707973774,0.111294563502943,12401,6.31779762249094
v,220,150,5.26221327674495,28.6877337078174,-1.10077392022931,16397,5.45164785216817
v,220,100,3.63303834945305,24.3924659241163,-0.203687524693053,25493,6.71406783465101
v,220,75,4.04410401774032,20.7994506769993,-0.233239889432624,31020,5.14315422792245
v,220,50,5.45131009352211,21.0516964458656,-0.57400590679089,19320,3.86176828775191
v,220,900,3.66405788282688,27.7635836331311,1.0147723560821,5993,7.57727757611488
v,220,800,2.651970909985,27.5097056430742,0.746307559244043,6085,10.3733059587858
v,220,750,2.55134051664376,29.273235251211,-0.201350151747394,6524,11.473668473591
v,220,650,2.45390992392331,24.0918911612494,0.563075190645229,4789,9.81775693002262
v,220,600,2.67568055661717,28.433354289597,0.0856810792757954,5689,10.6265877738204
v,220,550,2.32616809697841,26.4698183297527,0.490954337283044,5992,11.3791511301938
v,220,450,3.12735467822655,32.0849795784828,0.606048233042707,6767,10.2594629901964
v,220,350,4.56648436209158,38.1274686960087,0.666732043091048,6535,8.34941405088822
v,220,1000,2.79260143483811,25.6429265475901,-0.55818910130528,5133,9.18245125412128
t,133,250,1.44132155171324,71.3831569268646,0.168460437110112,6893,49.5261843840566
t,133,300,1.11346634433887,71.4655811762623,0.499819327027027,2220,64.1829737733972
u,233,250,12.9453243437011,43.6426316515434,1.10253033163996,7677,3.37130461105665
u,233,300,10.4501346552502,22.7548761079512,1.64846574555404,2924,2.17747204783807
v,233,250,11.9446553105889,19.7682597922605,1.12948264048456,7677,1.6549878818802
v,233,300,8.1239457543315,15.6703233783102,0.371817677838577,2924,1.92890546689768
t,133,450,2.06105591677929,106.512192948917,0.680225825925926,540,51.6784586394719
t,133,750,0.944544361465738,69.2203897490727,2.290775,240,73.2844242928484
t,133,400,0.425285462250251,123.92636914136,0.919940518518519,540,291.395733316738
u,233,450,3.27800939776115,23.3273590793069,-1.36638074074074,540,7.11631854845788
u,233,750,1.8528708945847,17.6326403540143,-0.495625825,240,9.51638908331304
u,233,400,4.64256810633754,25.1466693677131,-1.92807,540,5.41654291153759
v,233,450,4.6707210703153,22.6779233222694,0.688872962962963,540,4.85533667732774
v,233,750,5.78725395310558,12.7613106173085,-0.0650579791666667,240,2.20507182175071
v,233,400,3.35200351131613,13.9398521322179,3.16316746296296,540,4.15866274756512
t,133,350,0.993160309801426,42.778534715895,1.09933866666667,300,43.0731416607337
t,133,650,1.13310961490218,41.5362513251865,0.186590833333333,120,36.6568695375268
